,TITLE,PRICE,LOCATION,ROOM,AREA
121,CADDEBOSTAN BAĞDAT CADDESİ ÜZERİNDE 30 M2 DÜKKAN,6650000,"Göztepe, Kadıköy",3+1,150 m²
122,CADDEBOSTAN ÖMER PAŞA CADDESİ ÜZERİNDE 30 M2 DÜKKAN,4200000,"Koşuyolu, Kadıköy",,125 m²
123,BOSTANCI EMİN ALİ PAŞA CADDESİ ÜZERİNDE KİRACILI 135 M2 DÜKKAN,7000000,"Caferağa, Kadıköy",3+1,140 m²
124,BOSTANCI ALİ NİHAT TARLAN CADDESİ ÜZERİNDE KİRACILI 300M2 DÜKKAN,5250000,"Göztepe, Kadıköy",1+1,117 m²
125,BOSTANCI SAHİLİNDE KESİNTİSİZ LEBİDERYA MANZARALI 330 M2 DAİRE,6280000,"Bostancı, Kadıköy",3+1,190 m²
126,ANA CADDE ÜZERİNDE 240 M2 DÜKKAN,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
127,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 110 M2 DÜKKAN,240000000,"Kozyatağı, Kadıköy",,4172 m²
128,CADDEBOSTAN BAĞDAT CADDESİNE İKİNCİ BİNADA 90 M2 DÜKKAN,9950000,"Bostancı, Kadıköy",4+1,160 m²
129,ŞAŞKINBAKKAL SAHİLDE DENİZ KENARI 170 M2 DAİRE,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
130,OPERATÖR CEMİL TOPUZLU CADDESİ ÜZERİNDE KİRACILI 200 M2 MAĞAZA,13200000,"Suadiye, Kadıköy",4+2,230 m²
131,KADIKÖY SAKIZGÜLÜ SOKAKTA KİRACILI 36 M2 DÜKKAN,10300000,"Suadiye, Kadıköy",4+1,165 m²
132,KADIKÖY HALİTAĞA CADDESİ ÜZERİNDE 40 M2 DÜKKAN,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
133,CADDEBOSTAN CEMİL TOPUZLU CADDESİ ÜZERİNDE KİRACILI 300M2 MAĞAZA,10300000,"Suadiye, Kadıköy",4+1,165 m²
134,ŞAŞKIN BAKKAL SAHİLDE KATTA TEK SIFIR NET 94 m2 SATILIK 2+1!!,290000000,"Fenerbahçe, Kadıköy",,2987 m²
